keyword,source,author,title,description,content,publishedAt,url
usaid kenya,TechCabal,Adonijah Ndege,Kenya plans to relocate health data from the US after USAID cuts,Kenya is preparing to move critical health data hosted in the United States following cuts to USAID funding by President Donald Trump.,Kenya is preparing to move critical health data currently hosted in the United States following President Donald Trump’s cuts to the United States Agency for International Development (USAID) funding… [+2866 chars],2025-06-02T10:53:32Z,https://techcabal.com/2025/06/02/kenya-health-data-usaid-trump-funding/
usaid kenya,UN News,United Nations,"United Nations Selects Indigenous Social Worker from Canada, Kenyan Social Entrepreneur to Be Awarded 2025 UN Mandela Prize","The laureates of the 2025 United Nations Nelson Rolihlahla Mandela Prize are Brenda Reynolds, a social worker of Saulteaux heritage supporting the health and well-being of Indigenous communities in Canada, and Kennedy Odede, founder and CEO of Shining Hope fo…","The laureates of the 2025 United Nations Nelson Rolihlahla Mandela Prize are Brenda Reynolds, a social worker of Saulteaux heritage supporting the health and well-being of Indigenous communities in C… [+10472 chars]",2025-05-28T16:00:16Z,https://press.un.org/en/2025/pi2330.doc.htm
usaid kenya,Plos.org,"Joseph K. B. Matovu, Martha Akulume, Fredrick Makumbi, Elena Lebetkin, Rhobbinah Ssempebwa, Patrick Komakech, Dieudonne Bidashimwa, Maria Carrasco, Rhoda K. Wanyenze",Stakeholders’ perspectives on the status of family planning integration into differentiated antiretroviral therapy service delivery models in Uganda: A qualitative assessment,"Introduction Facility- and community-based differentiated antiretroviral therapy service delivery models (DSDM) for stable patients can offer a convenient platform for integrating self-care-oriented family planning (FP) services into HIV care. However, little…","Abstract
Introduction
Facility- and community-based differentiated antiretroviral therapy service delivery models (DSDM) for stable patients can offer a convenient platform for integrating self-car… [+71973 chars]",2025-05-22T14:00:00Z,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0324616
usaid kenya,Citizen.digital,Guest Writer,Moses Obimbo: How village curiosity inspired a global health advocate,"In the heart of Masana,  a small village in Western Kenya, a young, curious man listened to the silent cries of families in the forgotten homes where mothers had died due to excessive bleeding during childbirth.","In the heart of Masana,  a small village in Western Kenya, a young, curious man listened to the silent cries of families in the forgotten homes where mothers had died due to excessive bleeding during… [+9341 chars]",2025-06-12T15:27:17Z,https://www.citizen.digital/opinion-blogs/moses-obimbo-how-village-curiosity-inspired-a-global-health-advocate-n364518
usaid kenya,Plos.org,"Bekahegn Girma, Lealem Dibku Sasahu, Azizur Rahman",Spatial distribution of stunting among breast feeding children in Sub-Sahara Africa,"Background Malnutrition is still a major global public health issue, especially in Sub-Saharan Africa (SSA), where millions of children suffer from stunting, a chronic form of the disease. In addition to limiting physical growth, stunting also impedes social …","Abstract
Background
Malnutrition is still a major global public health issue, especially in Sub-Saharan Africa (SSA), where millions of children suffer from stunting, a chronic form of the disease.… [+29854 chars]",2025-06-13T14:00:00Z,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0325812
usaid kenya,Plos.org,"Liya E. Abera, Suman Jumani, Charles B. van Rees, Jagdish Krishnaswamy, Cydney K. Seigerman, Donald R. Nelson, Jonathan Hallemeier, Dawit W. Mulatu, Roshni Arora, María Paula Viscardo Sesma, Kalkidan Asnake, John Aliu, Anthonette Quayee, Soojeong Myeong, Marta Echevarria, Maegaret Stern, Anita van Breda, Missaka Hettiarachchi, Ana Christina Becerra, Annika Quick, S. Kyle McKay",Integrating Nature-based Solutions for urban water security in global south,Nature-based solutions (NbS) leverage the power of ecosystems and biodiversity to address societal challenges. NbS for addressing water security challenges in cities are widely recognized for accelerating sustainability and delivering multiple co-benefits. Ho…,"Abstract
Nature-based solutions (NbS) leverage the power of ecosystems and biodiversity to address societal challenges. NbS for addressing water security challenges in cities are widely recognized f… [+64118 chars]",2025-06-05T14:00:00Z,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000372
usaid kenya,Inter Press Service,Oritro Karim,Funding Shortfalls Threaten Haiti’s Future,"The humanitarian situation in Haiti has deteriorated significantly in the recent weeks as rates of violence, hunger, and displacement soar amid a severe lack of funding. As armed gangs continue to seize more territory in the capital, Port-Au-Prince, as well a…","Climate Change, Crime &amp; Justice, Development &amp; Aid, Economy &amp; Trade, Food and Agriculture, Headlines, Health, Human Rights, Latin America &amp; the Caribbean, Migration &amp; Refugees, Te… [+6503 chars]",2025-05-29T09:45:24Z,https://www.ipsnews.net/2025/05/funding-shortfalls-threaten-haitis-future/
usaid kenya,Inter Press Service,Jomo Kwame Sundaram and Nadia Malyanah Azman,Weaponizing Food Worsens Starvation,"Wars, economic shocks, planetary heating and aid cuts have worsened food crises in recent years, with almost 300 million people now threatened by starvation. Why hunger? World food production has increased almost fourfold since 1960. FAO statistics indicate e…","Armed Conflicts, Economy &amp; Trade, Environment, Food and Agriculture, Food Security and Nutrition, Food Sustainability, Food Systems, Global, Headlines, Inequality, Poverty &amp; SDGs, TerraViva U… [+5406 chars]",2025-06-17T06:21:39Z,https://www.ipsnews.net/2025/06/weaponizing-food-worsens-starvation/
usaid funding,Yahoo Entertainment,Associated Press Videos,US aid kept many hungry Somali children alive. Now that money is disappearing,The U.S. Agency for International Development once provided 65% of Somalia’s foreign aid. Now that funding is disappearing. The money had been crucial in a...,The U.S. Agency for International Development once provided 65% of Somalias foreign aid. Now that funding is disappearing. The money had been crucial in a country described as having one of the world… [+161 chars],2025-05-27T03:01:23Z,https://www.yahoo.com/news/us-aid-kept-many-hungry-030123140.html
usaid funding,Yahoo Entertainment,Eleanor Pringle,Elon Musk hits back at Bill Gates’ claim that DOGE cuts could lead to deaths of children: ‘I’d like him to show us any evidence’,Microsoft co-founder Bill Gates warned DOGE's cut to USAID could result in children's lives being endangered.,"<ul><li>Elon Musk rejected Bill Gates’s claim that the Department of Government Efficiency (DOGE) is endangering children’s lives by slashing USAID funding, calling Gates a liar and demanding evidenc… [+4209 chars]",2025-05-21T11:00:22Z,https://www.yahoo.com/news/elon-musk-hits-back-bill-110022996.html
